Asset Type,File Name,Size (px),Usage,Status,Priority,Notes
iOS App Icon,icon-29x29.png,29x29,Settings,Placeholder Created,High,Need final branded version
iOS App Icon,icon-40x40.png,40x40,Spotlight,Placeholder Created,High,Need final branded version
iOS App Icon,icon-58x58.png,58x58,Settings @2x,Placeholder Created,High,Need final branded version
iOS App Icon,icon-60x60.png,60x60,App @1x,Placeholder Created,Medium,Rarely used but required
iOS App Icon,icon-80x80.png,80x80,Spotlight @2x,Placeholder Created,High,Need final branded version
iOS App Icon,icon-87x87.png,87x87,Settings @3x,Placeholder Created,Medium,Need final branded version
iOS App Icon,icon-120x120.png,120x120,App @2x,Placeholder Created,High,Most common size
iOS App Icon,icon-180x180.png,180x180,App @3x,Placeholder Created,High,Most common size
iOS App Icon,icon-1024x1024.png,1024x1024,App Store,Placeholder Created,High,Required for submission
Launch Screen,launch-750x1334.png,750x1334,iPhone 6/7/8,Placeholder Created,Medium,Need branded design
Launch Screen,launch-828x1792.png,828x1792,iPhone XR/11,Placeholder Created,Medium,Need branded design
Launch Screen,launch-1125x2436.png,1125x2436,iPhone X/XS/11 Pro,Placeholder Created,High,Common device
Launch Screen,launch-1242x2208.png,1242x2208,iPhone 6/7/8 Plus,Placeholder Created,Medium,Legacy support
Launch Screen,launch-1242x2688.png,1242x2688,iPhone XS Max/11 Pro Max,Placeholder Created,High,Large devices
Launch Screen,launch-1170x2532.png,1170x2532,iPhone 12/13/14,Placeholder Created,High,Current generation
Launch Screen,launch-1284x2778.png,1284x2778,iPhone 12/13/14 Pro Max,Placeholder Created,High,Current generation
