path,title,category,status,rationale,priority,estimated_effort,links_ok,actions
SCHEDULED_MESSAGES_VERIFICATION_REPORT.md,Scheduled Messages Verification Report,Implementation,Archive,Completed implementation report,High,5min,Yes,Move to docs/archive/implementations/2025/q1-scheduled-messages/
SCHEDULED_MESSAGES_CRON_IMPLEMENTATION.md,Scheduled Messages Cron Implementation,Implementation,Archive,Completed implementation report,High,5min,Yes,Move to docs/archive/implementations/2025/q1-scheduled-messages/
MESSAGING_CONSOLIDATION_CLOSEOUT_SUMMARY.md,Messaging Consolidation Closeout Summary,Implementation,Archive,Completed consolidation work,High,5min,Yes,Move to docs/archive/implementations/2025/q3-messaging-consolidation/
FRONTEND_PERFORMANCE_OPTIMIZATION_SUMMARY.md,Frontend Performance Optimization Summary,Performance,Archive,Completed optimization work,High,5min,Yes,Move to docs/archive/implementations/2025/q2-performance-optimization/
SHARED_CHUNK_OPTIMIZATION_SUMMARY.md,Shared Chunk Optimization Summary,Performance,Archive,Completed optimization work,High,5min,Yes,Move to docs/archive/implementations/2025/q2-performance-optimization/
ONE_HOUR_REMINDERS_IMPLEMENTATION_COMPLETE.md,One Hour Reminders Implementation Complete,Implementation,Archive,Completed feature implementation,High,5min,Yes,Move to docs/archive/implementations/2025/
V2_DEFAULT_IMPLEMENTATION_COMPLETE.md,V2 Default Implementation Complete,Implementation,Archive,Completed V2 migration,High,5min,Yes,Move to docs/archive/implementations/2025/
UNVEIL_CLEANUP_IMPLEMENTATION_COMPLETE.md,Unveil Cleanup Implementation Complete,Implementation,Archive,Completed cleanup work,High,5min,Yes,Move to docs/archive/implementations/2025/q4-cleanup-implementation/
IMPLEMENTATION_COMPLETE.md,Implementation Complete,Implementation,Archive,Generic completion report,High,5min,Yes,Move to docs/archive/implementations/2025/
PRE_LAUNCH_FIXES_IMPLEMENTATION.md,Pre Launch Fixes Implementation,Implementation,Archive,Completed pre-launch work,High,5min,Yes,Move to docs/archive/implementations/2025/
docs/audits/db-health/2025-01-31-schema.md,Database Health Schema Audit,Audit,Merge,Part of DB health series,Medium,30min,Yes,Merge with other DB health audits into comprehensive guide
docs/audits/db-health/2025-01-31-integrity.md,Database Health Integrity Audit,Audit,Merge,Part of DB health series,Medium,30min,Yes,Merge with other DB health audits into comprehensive guide
docs/audits/db-health/2025-01-31-visibility.md,Database Health Visibility Audit,Audit,Merge,Part of DB health series,Medium,30min,Yes,Merge with other DB health audits into comprehensive guide
docs/changes/db-health-summary.md,Database Health Summary,Audit,Merge,Summary of DB health audits,Medium,15min,Yes,Merge with other DB health audits into comprehensive guide
docs/audits/message-history-timezone-utc-bug-fix.md,Message History Timezone UTC Bug Fix,Audit,Merge,Part of message history series,Medium,20min,Yes,Merge into comprehensive message history troubleshooting guide
docs/audits/message-history-timezone-fix.md,Message History Timezone Fix,Audit,Merge,Part of message history series,Medium,20min,Yes,Merge into comprehensive message history troubleshooting guide
docs/audits/message-history-variable-order-fix.md,Message History Variable Order Fix,Audit,Merge,Part of message history series,Medium,20min,Yes,Merge into comprehensive message history troubleshooting guide
docs/audits/message-history-date-grouping-restoration.md,Message History Date Grouping Restoration,Audit,Merge,Part of message history series,Medium,20min,Yes,Merge into comprehensive message history troubleshooting guide
docs/audits/message-history-exploratory-audit.md,Message History Exploratory Audit,Audit,Merge,Part of message history series,Medium,20min,Yes,Merge into comprehensive message history troubleshooting guide
docs/architecture/ARCHITECTURE.md,Unveil Architecture Guide,Architecture,Keep,Core architecture reference,High,0min,Yes,Maintain current - essential reference
docs/architecture/user-auth-flow.md,User Authentication Flow,Architecture,Keep,Critical authentication flow,High,0min,Yes,Maintain current - essential reference
docs/architecture/event-creation-complete-guide.md,Event Creation Complete Guide,Architecture,Keep,User journey documentation,High,0min,Yes,Maintain current - essential reference
UNVEIL_APP_MAP.md,Unveil App Map Complete Architecture Overview,Architecture,Keep,System overview,High,0min,Yes,Maintain current - essential reference
